Episode,Total Score,Average Score,Average Score Last 10
1,141,141.0,14.1
2,239,190.0,38.0
3,247,209.0,62.7
4,205,208.0,83.2
5,166,199.6,99.8
6,112,185.0,111.0
7,182,184.57142857142858,129.2
8,181,184.125,147.3
9,174,183.0,164.7
10,198,184.5,184.5
11,159,182.1818181818182,186.3
12,179,181.91666666666666,180.3
13,176,181.46153846153845,173.2
14,225,184.57142857142858,175.2
15,177,184.06666666666666,176.3
16,217,186.125,186.8
17,137,183.23529411764707,182.3
18,159,181.88888888888889,180.1
19,142,179.78947368421052,176.9
20,119,176.75,169.0
21,113,173.71428571428572,164.4
22,125,171.5,159.0
23,216,173.43478260869566,163.0
24,184,173.875,158.9
25,223,175.84,163.5
26,282,179.92307692307693,170.0
27,137,178.33333333333334,170.0
28,142,177.03571428571428,168.3
29,211,178.20689655172413,175.2
30,261,180.96666666666667,189.4
31,130,179.32258064516128,191.1
32,164,178.84375,195.0
33,251,181.03030303030303,198.5
34,186,181.1764705882353,198.7
35,346,185.88571428571427,211.0
36,227,187.02777777777777,205.5
37,204,187.48648648648648,212.2
38,238,188.81578947368422,221.8
39,328,192.3846153846154,233.5
40,189,192.3,226.3
41,309,195.14634146341464,244.2
42,167,194.47619047619048,244.5
43,188,194.32558139534885,238.2
44,248,195.54545454545453,244.4
45,225,196.2,232.3
46,237,197.08695652173913,233.3
47,142,195.91489361702128,227.1
48,160,195.16666666666666,219.3
49,161,194.46938775510205,202.6
50,275,196.08,211.2
51,284,197.80392156862746,208.7
52,295,199.67307692307693,221.5
53,279,201.16981132075472,230.6
54,223,201.57407407407408,228.1
55,165,200.9090909090909,222.1
56,237,201.55357142857142,222.1
57,221,201.89473684210526,230.0
58,250,202.72413793103448,239.0
59,174,202.23728813559322,240.3
60,170,201.7,229.8
61,163,201.0655737704918,217.7
62,272,202.20967741935485,215.4
63,233,202.6984126984127,210.8
64,214,202.875,209.9
65,298,204.33846153846153,223.2
66,131,203.22727272727272,212.6
67,156,202.52238805970148,206.1
68,150,201.75,196.1
69,172,201.31884057971016,195.9
70,294,202.64285714285714,208.3
71,218,202.85915492957747,213.8
72,129,201.83333333333334,199.5
73,170,201.3972602739726,193.2
74,118,200.27027027027026,183.6
75,160,199.73333333333332,169.8
76,231,200.14473684210526,179.8
77,145,199.42857142857142,178.7
78,220,199.69230769230768,185.7
79,157,199.15189873417722,184.2
80,238,199.6375,178.6
81,122,198.679012345679,169.0
82,188,198.5487804878049,174.9
83,131,197.73493975903614,171.0
84,233,198.1547619047619,182.5
85,318,199.56470588235294,198.3
86,201,199.58139534883722,195.3
87,277,200.4712643678161,208.5
88,119,199.54545454545453,198.4
89,268,200.31460674157304,209.5
90,251,200.87777777777777,210.8
91,129,200.0879120879121,211.5
92,147,199.5108695652174,207.4
93,228,199.81720430107526,217.1
94,170,199.5,210.8
95,305,200.61052631578949,209.5
96,205,200.65625,209.9
97,92,199.53608247422682,191.4
98,214,199.68367346938774,200.9
99,102,198.6969696969697,184.3
100,290,199.61,188.2
101,193,199.54455445544554,194.6
102,304,200.5686274509804,210.3
103,175,200.32038834951456,205.0
104,197,200.28846153846155,207.7
105,178,200.07619047619048,195.0
106,154,199.64150943396226,189.9
107,147,199.14953271028037,195.4
108,128,198.49074074074073,186.8
109,235,198.8256880733945,200.1
110,304,199.78181818181818,201.5
111,188,199.67567567567568,201.0
112,240,200.03571428571428,194.6
113,149,199.58407079646017,192.0
114,168,199.30701754385964,189.1
115,225,199.5304347826087,193.8
